date,Union,FDP,GRUENE,LINKE,SPD,PIRATEN,AfD
2005-09-22,37.0,8.0,8.0,8.0,35.0,-100,-100
2005-10-06,39.0,7.0,7.0,9.0,34.0,-100,-100
2005-10-13,38.0,8.0,7.0,8.0,35.0,-100,-100
2005-10-27,37.0,9.0,8.0,8.0,35.0,-100,-100
2005-11-10,36.0,9.0,9.0,9.0,33.0,-100,-100
2005-11-24,37.0,9.0,9.0,8.0,34.0,-100,-100
2005-12-08,38.0,9.0,8.0,8.0,34.0,-100,-100
2006-01-12,39.0,9.0,8.0,8.0,33.0,-100,-100
2006-01-26,41.0,8.0,7.0,8.0,33.0,-100,-100
2006-02-16,41.0,8.0,8.0,7.0,32.0,-100,-100
2006-03-09,41.0,8.0,7.0,8.0,32.0,-100,-100
2006-04-06,41.0,7.0,8.0,8.0,32.0,-100,-100
2006-04-27,42.0,8.0,7.0,8.0,31.0,-100,-100
2006-05-18,41.0,9.0,8.0,7.0,32.0,-100,-100
2006-06-15,39.0,9.0,8.0,8.0,32.0,-100,-100
2006-07-13,37.0,11.0,8.0,7.0,31.0,-100,-100
2006-08-17,36.0,12.0,9.0,7.0,30.0,-100,-100
2006-08-31,36.0,11.0,9.0,8.0,30.0,-100,-100
2006-09-28,33.0,13.0,9.0,7.0,31.0,-100,-100
2006-10-12,33.0,11.0,10.0,8.0,32.0,-100,-100
2006-10-26,34.0,11.0,10.0,9.0,31.0,-100,-100
2006-11-09,35.0,11.0,9.0,8.0,31.0,-100,-100
2006-11-23,36.0,10.0,10.0,8.0,31.0,-100,-100
2006-12-14,37.0,9.0,10.0,8.0,31.0,-100,-100
2007-01-11,36.0,10.0,9.0,8.0,32.0,-100,-100
2007-02-08,37.0,10.0,10.0,8.0,30.0,-100,-100
2007-03-01,37.0,10.0,9.0,8.0,31.0,-100,-100
2007-03-15,37.0,9.0,9.0,8.0,32.0,-100,-100
2007-03-29,37.0,9.0,9.0,9.0,31.0,-100,-100
2007-04-19,37.0,9.0,10.0,8.0,32.0,-100,-100
2007-05-16,38.0,8.0,9.0,9.0,32.0,-100,-100
2007-05-31,39.0,8.0,8.0,9.0,31.0,-100,-100
2007-06-21,38.0,9.0,8.0,10.0,31.0,-100,-100
2007-07-19,40.0,9.0,8.0,10.0,29.0,-100,-100
2007-08-16,40.0,9.0,8.0,9.0,29.0,-100,-100
2007-09-13,40.0,8.0,9.0,10.0,29.0,-100,-100
2007-10-04,41.0,7.0,8.0,10.0,30.0,-100,-100
2007-10-18,40.0,7.0,8.0,9.0,31.0,-100,-100
2007-11-08,40.0,7.0,8.0,10.0,30.0,-100,-100
2007-11-21,40.0,6.0,9.0,9.0,31.0,-100,-100
2007-12-13,41.0,7.0,8.0,9.0,31.0,-100,-100
