date,FIold,IdV,LN,UdC,LADESTRA,PD,PdL,M5S,FdI,FIPDLFI,NCDUdC,SI,AP,MDP,LeU,E,I,NcI,CivP,EV,LS,IV,A,CI
2007-04-09,26.0,4.0,5.5,5.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2008-02-13,-100,4.5,6.5,6.0,2.5,30.5,36.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2008-02-18,-100,4.25,5.5,7.5,1.75,32.0,37.0,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2015-06-29,-100,0.5,15.5,-100,-100,32.5,-100,25.0,4.0,12.5,3.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2015-07-15,-100,-100,15.0,-100,-100,34.6,-100,24.4,3.8,12.1,3.6,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2015-08-28,-100,-100,16.5,-100,-100,30.6,-100,25.1,3.1,11.9,2.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2015-08-31,-100,-100,15.5,-100,-100,32.5,-100,25.5,4.0,10.0,2.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2015-09-03,-100,-100,16.2,-100,-100,34.1,-100,23.7,3.2,12.6,3.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2016-11-02,-100,0.5,12.2,-100,-100,32.7,-100,27.2,3.9,11.6,3.2,3.2,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2016-11-12,-100,-100,12.5,-100,-100,31.5,-100,29.0,4.0,14.5,3.0,2.5,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2017-11-08,-100,-100,14.5,-100,-100,26.3,-100,25.4,4.6,14.3,-100,2.1,2.5,2.9,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2017-11-09,-100,-100,15.3,-100,-100,24.3,-100,29.3,5.1,16.1,-100,2.5,2.6,2.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2017-11-15,-100,-100,14.8,-100,-100,25.9,-100,26.5,4.3,13.6,-100,2.4,2.5,2.8,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
2017-11-18,-100,-100,15.8,-100,-100,24.2,-100,27.4,5.0,16.6,-100,2.3,1.7,3.1,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100
