date,size,firm,PP,PSOE,ERC,PNVEAJ,CC,BNG,Cs,VOX,Podemos,EHBildu,PACMA,PDeCAT,Comp,JuntsxCat,Naplus,MP,CUP
2011-12-15,1000,Metroscopia,44.9,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-05,1000,Metroscopia,46.4,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-06,1100,Celeste-Tel,46.1,28.8,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-15,2480,CIS,42.7,28.0,1.4,1.4,0.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-01-20,1000,NC Report,46.3,27.8,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-07,1100,Celeste-Tel,44.6,27.4,1.2,1.4,0.6,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-09,1003,Metroscopia,46.2,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-17,4800,NC Report,45.6,25.6,1.1,1.4,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-02-28,1000,GESOP,42.0,28.2,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-01,1007,Metroscopia,46.3,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-03-07,1100,Celeste-Tel,45.1,26.1,1.2,1.4,0.6,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-09,1100,Celeste-Tel,41.3,28.9,1.2,1.5,0.7,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-11,1026,Simple Lógica,42.0,24.9,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-12,1000,Metroscopia,38.1,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-17,2484,CIS,40.6,29.6,1.7,1.2,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-04-25,NA,PSOE,39.8,31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-08,1100,Celeste-Tel,41.1,28.8,1.0,1.6,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-10,1001,Metroscopia,37.2,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-11,1015,Simple Lógica,39.9,27.1,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-05-30,955,NC Report,42.7,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-07,1100,Celeste-Tel,40.8,29.3,0.9,1.5,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-07,1004,Metroscopia,37.1,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-14,1000,Sigma Dos,39.1,29.2,1.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-15,1017,Simple Lógica,39.2,24.4,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-18,1000,GESOP,38.1,28.1,1.0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-06-28,857,DYM,36.8,23.1,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,1000,Metroscopia,37.0,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-06,1100,Celeste-Tel,40.6,29.4,1.1,1.6,0.7,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-06,NA,Invymark,40.5,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-10,2484,CIS,36.6,29.9,1.3,1.5,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-10,1006,Simple Lógica,37.2,27.7,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-19,1000,Sigma Dos,35.8,29.6,1.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-26,1000,Metroscopia,30.0,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-27,1100,Celeste-Tel,34.2,29.5,1.3,1.7,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-31,955,NC Report,35.9,28.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-08-10,2009,Simple Lógica,36.4,24.7,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-06,1000,Metroscopia,30.9,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-07,1100,Celeste-Tel,34.0,29.9,1.2,1.6,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-12,1100,MyWord,31.1,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-13,1776,Simple Lógica,34.7,26.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-21,NA,Invymark,34.1,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-09-30,NA,NC Report,38.6,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-04,1000,Metroscopia,29.9,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-05,1100,Celeste-Tel,32.8,28.0,1.5,1.7,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-11,NA,Simple Lógica,34.1,24.5,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-14,2484,CIS,35.9,28.6,1.3,1.4,0.4,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-17,1724,Intercampo,29.4,27.3,1.0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-26,NA,Invymark,32.9,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-10-31,1000,MyWord,33.0,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-07,1000,Metroscopia,31.8,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-08,1025,Simple Lógica,34.5,24.3,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-09,1100,Celeste-Tel,33.6,28.3,1.9,1.7,0.8,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-09,NA,Invymark,32.0,26.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-11-29,1000,Metroscopia,31.3,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-10,1009,Simple Lógica,33.6,23.0,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-12,1100,Celeste-Tel,33.1,28.5,1.8,1.5,0.7,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-21,NA,Invymark,30.9,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-12-28,1000,Sigma Dos,36.7,30.7,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-09,1100,Celeste-Tel,32.8,28.6,1.7,1.6,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-10,1000,Metroscopia,29.8,23.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Invymark,30.6,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-11,NA,Simple Lógica,32.5,25.5,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-14,2483,CIS,35.0,30.2,2.0,1.3,0.9,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-21,955,NC Report,36.5,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-25,NA,Invymark,30.0,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-01-29,1000,GESOP,30.2,28.0,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-01,2000,Metroscopia,23.9,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-06,1100,Celeste-Tel,29.8,28.6,1.6,1.6,1.0,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-08,1000,Sigma Dos,33.5,28.2,1.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-08,NA,Simple Lógica,33.3,24.2,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-15,NA,Invymark,29.4,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-02-28,1000,Metroscopia,24.3,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-03-01,NA,Invymark,29.0,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-03-06,1100,Celeste-Tel,29.4,27.8,2.0,1.5,1.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-03-08,1017,Simple Lógica,31.2,21.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-03-22,NA,Invymark,29.1,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-04,1000,Metroscopia,24.5,23.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-05,1100,Celeste-Tel,30.4,27.1,2.1,1.5,1.1,0.5,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-08,2482,CIS,34.0,28.2,2.0,1.2,0.9,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-04-08,1010,Simple Lógica,29.2,21.4,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
