date,size,firm,Con,Lab,LibDem,UKIP,Green,SNP,PLPW,BP,ChUK
2014-01-02,1939,Opinium,30.0,37.0,8.0,17.0,3.0,NA,NA,NA,NA
2014-01-03,1001,Survation,31.0,35.0,11.0,16.0,2.0,NA,NA,NA,NA
2014-01-06,1729,YouGov,32.0,40.0,9.0,12.0,2.0,NA,NA,NA,NA
2014-01-07,1972,YouGov,32.0,37.0,10.0,14.0,3.0,NA,NA,NA,NA
2014-01-08,1958,YouGov,32.0,38.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-01-09,2012,Populus,33.0,40.0,11.0,8.0,3.0,NA,NA,NA,NA
2014-01-09,1887,YouGov,32.0,38.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-01-10,1904,YouGov,31.0,40.0,9.0,14.0,2.0,NA,NA,NA,NA
2014-01-11,2079,Populus,33.0,38.0,12.0,9.0,3.0,NA,NA,NA,NA
2014-01-12,1005,ICM,32.0,35.0,14.0,10.0,3.0,NA,NA,NA,NA
2014-01-13,1762,YouGov,33.0,38.0,11.0,12.0,2.0,NA,NA,NA,NA
2014-01-14,1035,Ipsos MORI,30.0,39.0,13.0,11.0,3.0,NA,NA,NA,NA
2014-01-14,2000,YouGov,34.0,37.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-01-15,1005,Survation,30.0,34.0,12.0,18.0,2.0,NA,NA,NA,NA
2014-01-15,1893,YouGov,33.0,39.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-01-16,2029,ComRes,30.0,35.0,8.0,19.0,3.0,NA,NA,NA,NA
2014-01-16,1930,Opinium,30.0,36.0,8.0,17.0,3.0,NA,NA,NA,NA
2014-01-16,2039,Populus,33.0,40.0,13.0,9.0,2.0,NA,NA,NA,NA
2014-01-16,1981,YouGov,32.0,39.0,10.0,12.0,2.0,NA,NA,NA,NA
2014-01-17,1957,YouGov,33.0,39.0,8.0,13.0,2.0,NA,NA,NA,NA
2014-01-19,2027,Populus,32.0,39.0,12.0,9.0,3.0,NA,NA,NA,NA
2014-01-20,20058,Lord Ashcroft,30.0,38.0,8.0,16.0,3.0,NA,NA,NA,NA
2014-01-20,1682,YouGov,32.0,40.0,11.0,12.0,2.0,NA,NA,NA,NA
2014-01-21,1961,YouGov,34.0,38.0,9.0,13.0,3.0,NA,NA,NA,NA
2014-01-22,1843,YouGov,32.0,40.0,8.0,12.0,3.0,NA,NA,NA,NA
2014-01-23,2051,Populus,32.0,40.0,11.0,9.0,3.0,NA,NA,NA,NA
2014-01-23,1840,YouGov,35.0,38.0,8.0,12.0,2.0,NA,NA,NA,NA
2014-01-24,1859,YouGov,32.0,39.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-01-26,1002,ComRes,32.0,33.0,9.0,14.0,5.0,NA,NA,NA,NA
2014-01-26,2052,Populus,33.0,40.0,11.0,8.0,3.0,NA,NA,NA,NA
2014-01-27,1381,YouGov,35.0,37.0,9.0,13.0,2.0,NA,NA,NA,NA
2014-01-28,1814,YouGov,34.0,37.0,9.0,12.0,3.0,NA,NA,NA,NA
