date,Con,Lab,LibDem,UKIP,Green,SNP,PLPW,BP,ChUK
2014-01-02,30.0,37.0,8.0,17.0,3.0,-100,-100,-100,-100
2014-01-03,31.0,35.0,11.0,16.0,2.0,-100,-100,-100,-100
2014-01-06,32.0,40.0,9.0,12.0,2.0,-100,-100,-100,-100
2014-01-07,32.0,37.0,10.0,14.0,3.0,-100,-100,-100,-100
2014-01-08,32.0,38.0,9.0,13.0,3.0,-100,-100,-100,-100
2014-01-09,32.5,39.0,10.0,10.5,2.5,-100,-100,-100,-100
2014-01-10,31.0,40.0,9.0,14.0,2.0,-100,-100,-100,-100
2014-01-11,33.0,38.0,12.0,9.0,3.0,-100,-100,-100,-100
2014-01-12,32.0,35.0,14.0,10.0,3.0,-100,-100,-100,-100
2014-01-13,33.0,38.0,11.0,12.0,2.0,-100,-100,-100,-100
2014-01-14,32.0,38.0,11.0,12.0,2.5,-100,-100,-100,-100
2014-01-15,31.5,36.5,11.0,15.0,2.0,-100,-100,-100,-100
2014-01-16,31.25,37.5,9.75,14.25,2.5,-100,-100,-100,-100
2014-01-17,33.0,39.0,8.0,13.0,2.0,-100,-100,-100,-100
2014-01-19,32.0,39.0,12.0,9.0,3.0,-100,-100,-100,-100
2014-01-20,31.0,39.0,9.5,14.0,2.5,-100,-100,-100,-100
2014-01-21,34.0,38.0,9.0,13.0,3.0,-100,-100,-100,-100
2014-01-22,32.0,40.0,8.0,12.0,3.0,-100,-100,-100,-100
2014-01-23,33.5,39.0,9.5,10.5,2.5,-100,-100,-100,-100
2014-01-24,32.0,39.0,9.0,13.0,2.0,-100,-100,-100,-100
2014-01-26,32.5,36.5,10.0,11.0,4.0,-100,-100,-100,-100
2014-01-27,35.0,37.0,9.0,13.0,2.0,-100,-100,-100,-100
2014-01-28,34.0,37.0,9.0,12.0,3.0,-100,-100,-100,-100
2014-01-29,35.0,38.0,10.0,11.0,2.0,-100,-100,-100,-100
2014-01-30,32.0,40.5,9.5,11.0,2.5,-100,-100,-100,-100
2014-01-31,31.5,37.5,8.0,14.0,3.0,-100,-100,-100,-100
2014-02-02,32.0,41.0,11.0,9.0,3.0,-100,-100,-100,-100
2014-02-03,32.0,38.0,11.5,10.5,2.0,-100,-100,-100,-100
2014-02-04,33.0,39.0,8.0,13.0,3.0,-100,-100,-100,-100
2014-02-05,35.0,39.0,9.0,10.0,2.0,-100,-100,-100,-100
2014-02-06,32.5,37.0,9.5,14.5,2.0,-100,-100,-100,-100
2014-02-07,35.0,39.0,10.0,10.0,3.0,-100,-100,-100,-100
2014-02-09,34.0,37.0,10.5,11.5,3.0,-100,-100,-100,-100
2014-02-10,33.0,39.0,10.0,12.0,2.0,-100,-100,-100,-100
2014-02-11,34.0,39.0,10.0,11.0,2.0,-100,-100,-100,-100
2014-02-12,32.0,39.0,8.0,13.0,2.0,-100,-100,-100,-100
2014-02-13,32.333333333333336,38.0,9.0,13.666666666666666,2.3333333333333335,-100,-100,-100,-100
2014-02-14,30.0,38.0,8.5,14.5,2.5,-100,-100,-100,-100
2014-02-16,33.0,38.0,10.0,13.0,3.0,-100,-100,-100,-100
2014-02-17,33.0,40.0,9.0,11.0,2.0,-100,-100,-100,-100
2014-02-18,33.0,40.0,8.0,12.0,3.0,-100,-100,-100,-100
2014-02-19,33.0,37.0,10.0,12.0,3.0,-100,-100,-100,-100
2014-02-20,33.0,38.5,9.0,12.5,2.5,-100,-100,-100,-100
2014-02-21,32.0,39.0,8.0,12.0,2.0,-100,-100,-100,-100
2014-02-23,32.0,37.0,10.0,15.0,2.0,-100,-100,-100,-100
2014-02-24,33.0,38.0,10.0,13.0,2.0,-100,-100,-100,-100
2014-02-25,33.0,39.0,10.0,11.0,3.0,-100,-100,-100,-100
2014-02-26,34.0,40.0,10.0,11.0,3.0,-100,-100,-100,-100
2014-02-27,33.333333333333336,38.0,9.0,13.0,3.0,-100,-100,-100,-100
2014-02-28,31.0,36.0,9.5,16.0,2.5,-100,-100,-100,-100
2014-03-02,32.0,37.5,10.0,11.5,3.5,-100,-100,-100,-100
2014-03-03,32.0,41.0,8.0,12.0,1.0,-100,-100,-100,-100
2014-03-04,34.0,38.0,9.0,13.0,2.0,-100,-100,-100,-100
2014-03-05,34.0,37.0,10.0,11.0,3.0,-100,-100,-100,-100
2014-03-06,32.5,38.5,9.0,12.5,3.0,-100,-100,-100,-100
2014-03-07,32.0,39.0,10.0,14.0,2.0,-100,-100,-100,-100
2014-03-09,34.0,38.0,9.0,12.0,3.0,-100,-100,-100,-100
2014-03-10,32.0,39.0,8.0,13.0,3.0,-100,-100,-100,-100
2014-03-11,34.5,38.0,11.0,10.5,2.5,-100,-100,-100,-100
2014-03-12,32.333333333333336,35.666666666666664,10.666666666666666,13.333333333333334,3.3333333333333335,-100,-100,-100,-100
2014-03-13,33.0,36.0,10.0,13.0,2.3333333333333335,-100,-100,-100,-100
2014-03-14,33.0,40.0,8.0,12.0,2.0,-100,-100,-100,-100
2014-03-16,32.0,36.0,10.0,13.0,3.0,-100,-100,-100,-100
2014-03-17,32.0,40.0,9.0,11.0,3.0,-100,-100,-100,-100
2014-03-18,34.0,38.0,11.0,11.0,3.0,-100,-100,-100,-100
2014-03-19,33.0,38.0,11.0,11.0,3.0,-100,-100,-100,-100
2014-03-20,34.0,38.5,9.5,11.0,2.0,-100,-100,-100,-100
2014-03-21,35.0,36.0,9.0,13.0,2.0,-100,-100,-100,-100
2014-03-23,32.5,35.5,9.5,12.0,3.5,-100,-100,-100,-100
2014-03-24,36.0,38.0,10.0,10.0,2.0,-100,-100,-100,-100
2014-03-25,35.0,38.0,10.0,10.0,2.0,-100,-100,-100,-100
2014-03-26,35.0,37.0,9.0,11.0,2.0,-100,-100,-100,-100
2014-03-27,35.0,36.0,10.0,11.0,3.0,-100,-100,-100,-100
2014-03-28,33.333333333333336,36.666666666666664,9.0,12.666666666666666,2.6666666666666665,-100,-100,-100,-100
2014-03-30,34.0,37.0,9.5,11.5,3.0,-100,-100,-100,-100
2014-03-31,34.0,37.0,11.0,13.0,2.0,-100,-100,-100,-100
2014-04-01,33.0,37.0,10.0,12.0,2.0,-100,-100,-100,-100
2014-04-02,32.0,38.0,10.0,13.0,2.0,-100,-100,-100,-100
2014-04-03,32.5,37.5,10.0,13.0,2.5,-100,-100,-100,-100
2014-04-04,31.5,37.5,9.5,16.0,2.0,-100,-100,-100,-100
2014-04-06,34.0,37.0,9.0,14.0,3.0,-100,-100,-100,-100
2014-04-07,32.0,36.5,9.5,14.5,2.5,-100,-100,-100,-100
2014-04-08,33.0,37.0,10.0,13.0,2.0,-100,-100,-100,-100
2014-04-09,33.0,36.0,10.0,14.0,2.0,-100,-100,-100,-100
2014-04-10,31.25,36.0,8.25,16.0,2.75,-100,-100,-100,-100
2014-04-11,32.0,38.0,8.0,14.0,2.0,-100,-100,-100,-100
2014-04-13,31.666666666666668,36.0,10.666666666666666,12.0,2.6666666666666665,-100,-100,-100,-100
2014-04-14,33.0,38.0,9.0,12.0,3.0,-100,-100,-100,-100
2014-04-15,34.0,37.0,10.0,13.0,2.0,-100,-100,-100,-100
2014-04-16,33.5,37.0,9.0,12.5,3.0,-100,-100,-100,-100
2014-04-17,33.0,35.0,11.0,15.0,2.0,-100,-100,-100,-100
2014-04-21,33.0,36.0,10.0,13.0,3.0,-100,-100,-100,-100
2014-04-22,34.0,37.0,10.0,12.0,2.0,-100,-100,-100,-100
2014-04-23,32.0,37.0,10.0,15.0,2.0,-100,-100,-100,-100
2014-04-24,33.5,36.5,8.5,13.5,3.5,-100,-100,-100,-100
2014-04-25,31.5,35.0,8.0,16.5,3.5,-100,-100,-100,-100
2014-04-27,32.0,35.0,10.0,15.0,3.0,-100,-100,-100,-100
2014-04-28,32.0,37.0,10.0,15.0,2.0,-100,-100,-100,-100
2014-04-29,32.0,37.0,9.0,14.0,3.0,-100,-100,-100,-100
2014-04-30,31.0,37.0,9.0,15.0,3.0,-100,-100,-100,-100
2014-05-01,33.5,35.75,9.75,14.0,2.75,-100,-100,-100,-100
2014-05-02,33.0,36.0,9.0,15.0,4.0,-100,-100,-100,-100
2014-05-03,33.0,34.0,8.0,18.0,4.0,-100,-100,-100,-100
2014-05-05,33.0,36.0,8.0,14.0,4.0,-100,-100,-100,-100
2014-05-06,34.0,35.0,9.0,14.0,3.0,-100,-100,-100,-100
2014-05-07,34.0,37.0,8.0,13.0,3.0,-100,-100,-100,-100
2014-05-08,31.666666666666668,34.666666666666664,8.333333333333334,16.333333333333332,4.0,-100,-100,-100,-100
2014-05-09,29.5,35.5,9.5,16.5,3.5,-100,-100,-100,-100
2014-05-11,34.0,33.0,10.0,14.333333333333334,4.0,-100,-100,-100,-100
2014-05-12,33.0,35.0,9.0,12.5,5.5,-100,-100,-100,-100
2014-05-13,34.0,34.0,8.0,15.0,3.0,-100,-100,-100,-100
2014-05-14,32.0,35.0,10.0,13.0,4.0,-100,-100,-100,-100
2014-05-15,31.666666666666668,35.0,8.666666666666666,15.0,3.6666666666666665,-100,-100,-100,-100
2014-05-16,34.0,37.0,9.0,13.0,4.0,-100,-100,-100,-100
2014-05-18,31.333333333333332,34.666666666666664,8.333333333333334,14.0,4.333333333333333,-100,-100,-100,-100
2014-05-19,33.0,37.0,9.0,11.0,6.0,-100,-100,-100,-100
2014-05-20,30.5,34.5,10.0,16.5,3.0,-100,-100,-100,-100
2014-05-21,33.0,36.0,9.0,13.0,4.0,-100,-100,-100,-100
2014-05-22,34.0,35.0,9.0,14.0,4.0,-100,-100,-100,-100
2014-05-23,31.0,33.333333333333336,8.333333333333334,18.333333333333332,4.0,-100,-100,-100,-100
2014-05-25,29.0,31.0,8.0,17.0,7.0,-100,-100,-100,-100
2014-05-26,34.0,36.0,9.0,14.0,3.0,-100,-100,-100,-100
2014-05-27,32.0,34.0,8.0,15.0,5.0,-100,-100,-100,-100
2014-05-28,32.0,36.0,9.0,14.0,5.0,-100,-100,-100,-100
2014-05-29,32.5,36.5,8.0,15.0,4.0,-100,-100,-100,-100
2014-05-30,33.0,36.0,7.0,15.0,4.0,-100,-100,-100,-100
2014-06-01,28.5,35.5,8.0,16.0,5.0,-100,-100,-100,-100
2014-06-02,30.0,36.0,8.0,17.0,5.0,-100,-100,-100,-100
2014-06-03,32.0,36.0,8.0,14.0,5.0,-100,-100,-100,-100
2014-06-04,32.0,37.0,7.0,13.0,5.0,-100,-100,-100,-100
2014-06-05,31.0,36.0,7.0,17.0,4.5,-100,-100,-100,-100
2014-06-06,33.5,36.0,8.0,14.0,5.0,-100,-100,-100,-100
2014-06-08,31.5,34.0,8.5,15.5,5.0,-100,-100,-100,-100
2014-06-09,31.0,37.0,7.0,15.0,5.0,-100,-100,-100,-100
2014-06-10,35.0,37.0,8.0,12.0,3.0,-100,-100,-100,-100
2014-06-11,34.0,36.0,6.0,14.0,5.0,-100,-100,-100,-100
2014-06-12,31.5,36.0,7.5,16.0,5.5,-100,-100,-100,-100
2014-06-13,32.5,35.5,7.5,15.5,4.5,-100,-100,-100,-100
2014-06-15,31.0,34.666666666666664,9.0,14.666666666666666,5.333333333333333,-100,-100,-100,-100
2014-06-16,32.0,36.0,10.0,14.0,5.0,-100,-100,-100,-100
2014-06-17,32.5,35.5,7.5,13.5,6.0,-100,-100,-100,-100
2014-06-18,34.0,38.0,7.0,13.0,5.0,-100,-100,-100,-100
2014-06-19,32.666666666666664,36.0,7.666666666666667,15.0,3.6666666666666665,-100,-100,-100,-100
2014-06-20,32.0,38.0,8.0,14.0,5.0,-100,-100,-100,-100
2014-06-22,30.0,35.0,9.0,15.0,5.0,-100,-100,-100,-100
2014-06-23,32.0,36.0,9.0,15.0,4.0,-100,-100,-100,-100
2014-06-24,33.0,36.0,8.0,15.0,4.0,-100,-100,-100,-100
2014-06-25,32.0,37.0,7.0,14.0,5.0,-100,-100,-100,-100
2014-06-26,33.5,36.5,8.0,13.0,4.5,-100,-100,-100,-100
2014-06-27,30.0,36.5,7.5,18.0,5.0,-100,-100,-100,-100
2014-06-29,32.0,33.333333333333336,8.666666666666666,15.0,5.0,-100,-100,-100,-100
2014-06-30,35.0,37.0,8.0,12.0,3.0,-100,-100,-100,-100
2014-07-01,33.0,38.0,8.0,11.0,5.0,-100,-100,-100,-100
2014-07-02,35.0,37.0,8.0,12.0,5.0,-100,-100,-100,-100
2014-07-03,32.666666666666664,35.333333333333336,8.0,14.666666666666666,4.333333333333333,-100,-100,-100,-100
2014-07-04,34.0,36.0,8.0,13.0,5.0,-100,-100,-100,-100
2014-07-06,29.0,36.0,10.0,14.5,5.0,-100,-100,-100,-100
2014-07-07,34.0,37.0,9.0,13.0,4.0,-100,-100,-100,-100
2014-07-08,31.0,38.0,8.0,12.0,5.0,-100,-100,-100,-100
2014-07-09,32.0,36.0,10.0,12.0,5.0,-100,-100,-100,-100
2014-07-10,34.0,36.5,8.0,12.0,4.0,-100,-100,-100,-100
2014-07-11,33.0,38.0,9.0,12.0,4.0,-100,-100,-100,-100
2014-07-13,33.333333333333336,35.333333333333336,9.333333333333334,11.666666666666666,5.0,-100,-100,-100,-100
2014-07-14,35.0,38.0,8.0,10.0,4.0,-100,-100,-100,-100
2014-07-15,33.0,36.5,7.0,12.5,6.0,-100,-100,-100,-100
2014-07-16,33.0,36.0,9.0,13.0,4.0,-100,-100,-100,-100
2014-07-17,31.5,36.0,8.0,15.75,5.0,-100,-100,-100,-100
2014-07-18,31.5,35.5,9.0,15.0,4.5,-100,-100,-100,-100
2014-07-20,29.5,36.0,8.0,15.0,5.5,-100,-100,-100,-100
2014-07-21,34.0,38.0,9.0,11.0,4.0,-100,-100,-100,-100
2014-07-22,34.0,37.0,7.0,14.0,5.0,-100,-100,-100,-100
2014-07-23,34.0,38.0,8.0,12.0,4.0,-100,-100,-100,-100
2014-07-24,35.0,37.5,8.5,10.0,4.0,-100,-100,-100,-100
2014-07-25,35.0,36.0,8.0,13.0,5.0,-100,-100,-100,-100
2014-07-27,30.666666666666668,34.666666666666664,8.666666666666666,14.333333333333334,5.666666666666667,-100,-100,-100,-100
2014-07-28,33.0,39.0,8.0,12.0,4.0,-100,-100,-100,-100
2014-07-29,34.0,35.0,8.0,12.0,6.0,-100,-100,-100,-100
2014-07-30,35.0,37.0,8.0,12.0,4.0,-100,-100,-100,-100
2014-07-31,34.5,37.0,8.0,13.0,4.0,-100,-100,-100,-100
2014-08-01,33.5,36.5,7.0,13.5,4.5,-100,-100,-100,-100
2014-08-03,32.5,35.0,8.5,15.0,4.5,-100,-100,-100,-100
2014-08-04,34.0,38.0,6.0,13.0,4.0,-100,-100,-100,-100
2014-08-05,33.0,38.0,8.0,12.0,4.0,-100,-100,-100,-100
2014-08-06,34.0,37.0,9.0,12.0,4.0,-100,-100,-100,-100
2014-08-07,34.5,36.5,8.0,11.5,3.5,-100,-100,-100,-100
2014-08-08,33.0,37.0,8.0,13.0,4.0,-100,-100,-100,-100
2014-08-10,31.0,38.0,12.0,10.0,4.0,-100,-100,-100,-100
2014-08-11,33.0,35.666666666666664,8.0,12.333333333333334,5.0,-100,-100,-100,-100
2014-08-12,35.0,38.0,8.0,11.0,4.0,-100,-100,-100,-100
2014-08-13,34.0,36.0,10.0,12.0,4.0,-100,-100,-100,-100
2014-08-14,33.5,35.0,8.5,13.0,5.0,-100,-100,-100,-100
2014-08-15,31.0,35.0,8.5,17.0,4.0,-100,-100,-100,-100
2014-08-17,32.0,37.0,9.0,14.0,3.0,-100,-100,-100,-100
2014-08-18,33.0,38.0,8.0,12.0,4.0,-100,-100,-100,-100
2014-08-19,36.0,37.0,9.0,12.0,3.0,-100,-100,-100,-100
2014-08-20,34.0,38.0,9.0,11.0,4.0,-100,-100,-100,-100
2014-08-21,33.0,38.5,8.5,11.5,4.0,-100,-100,-100,-100
2014-08-22,33.0,35.0,8.0,16.0,4.0,-100,-100,-100,-100
2014-08-25,32.0,38.0,8.0,15.0,3.0,-100,-100,-100,-100
2014-08-26,33.0,37.0,8.0,13.0,5.0,-100,-100,-100,-100
2014-08-27,34.0,35.0,7.0,14.0,6.0,-100,-100,-100,-100
2014-08-28,34.0,35.0,7.5,13.0,5.0,-100,-100,-100,-100
2014-08-29,31.0,36.0,7.0,16.0,4.0,-100,-100,-100,-100
2014-08-31,30.0,35.5,9.0,16.0,4.5,-100,-100,-100,-100
2014-09-01,34.0,35.0,7.0,14.0,5.0,-100,-100,-100,-100
2014-09-02,32.0,35.0,8.0,15.0,5.0,-100,-100,-100,-100
2014-09-03,33.0,36.0,7.0,14.0,5.0,-100,-100,-100,-100
2014-09-04,32.0,37.0,7.5,15.0,4.5,-100,-100,-100,-100
2014-09-05,33.0,35.0,7.0,15.0,4.0,-100,-100,-100,-100
2014-09-07,31.0,35.5,8.5,15.0,5.0,-100,-100,-100,-100
2014-09-08,31.0,36.0,8.0,16.0,5.0,-100,-100,-100,-100
2014-09-09,32.0,34.5,7.5,15.5,5.5,-100,-100,-100,-100
2014-09-10,32.0,38.0,6.0,14.0,5.0,-100,-100,-100,-100
2014-09-11,31.0,36.333333333333336,7.666666666666667,16.0,3.6666666666666665,-100,-100,-100,-100
2014-09-12,31.5,35.0,7.5,17.0,4.5,-100,-100,-100,-100
2014-09-14,33.333333333333336,34.333333333333336,9.333333333333334,12.0,5.333333333333333,-100,-100,-100,-100
2014-09-15,31.0,35.0,7.0,15.0,6.0,-100,-100,-100,-100
2014-09-16,31.5,35.5,9.0,15.0,5.0,-100,-100,-100,-100
2014-09-17,31.5,35.5,7.5,16.0,5.0,-100,-100,-100,-100
2014-09-18,32.5,35.5,8.5,14.5,4.5,-100,-100,-100,-100
2014-09-19,31.0,36.0,7.0,16.0,5.0,-100,-100,-100,-100
2014-09-21,30.0,35.0,9.0,14.5,5.0,-100,-100,-100,-100
2014-09-22,33.0,35.0,7.0,14.0,5.0,-100,-100,-100,-100
2014-09-23,31.0,37.0,7.0,15.0,5.0,-100,-100,-100,-100
2014-09-24,33.0,37.0,7.0,13.0,5.0,-100,-100,-100,-100
2014-09-25,32.0,37.0,8.0,13.0,4.0,-100,-100,-100,-100
2014-09-26,30.666666666666668,35.0,6.666666666666667,17.0,4.666666666666667,-100,-100,-100,-100
2014-09-28,31.666666666666668,34.333333333333336,8.333333333333334,15.333333333333334,4.333333333333333,-100,-100,-100,-100
